"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","150","Проверка валидации значения","tests","Sun Nov 30 10:19:44 UTC 2025","passed","Sun Nov 30 10:19:44 UTC 2025","","Check and validate","",""
"Тест проверяет, что появляется чекмарка при окончании загрузки","2303","Проверка отображения чекмарки при окончании загрузки","tests","Sun Nov 30 10:18:57 UTC 2025","passed","Sun Nov 30 10:18:59 UTC 2025","","Data loading","",""
"Выполнение невалидных авторизаций","195","Невалидная авторизация","tests","Sun Nov 30 10:19:39 UTC 2025","passed","Sun Nov 30 10:19:39 UTC 2025","","Login page","",""
"Тест проверяет работу чекбоксов:
- Включается указанное количество чекбоксов
- Затем часть из них отключается
- Проверяется, что счётчик активных чекбоксов отображает правильное значение
","870","Проверка корректности счетчика при включении/ыключении чекбоксов","tests","Sun Nov 30 10:19:52 UTC 2025","passed","Sun Nov 30 10:19:53 UTC 2025","","Checkboxes and scroll","",""
"Тест проверяет сообщение при составлении слова:
- Если слово собрано правильно, то отображается DONE
- Если слово собрано неправильно, то сообщения нету
","8049","Проверка сообщения после составления слова","tests","Sun Nov 30 10:20:03 UTC 2025","passed","Sun Nov 30 10:20:12 UTC 2025","","Drand and drop","",""
"Тест проверяет, что нету результата если запрос невалидный","2123","Проверка результата при невалидном запросе","tests","Sun Nov 30 10:19:19 UTC 2025","passed","Sun Nov 30 10:19:21 UTC 2025","","Autocomplete","",""
"Тест проверяет, что кнопка некликабельна если значении невалидно","2271","Проверка некликабельности кнопки при невалидном значении","tests","Sun Nov 30 10:18:54 UTC 2025","passed","Sun Nov 30 10:18:56 UTC 2025","","Data loading","",""
"Выполнение авторизации","221","Авторизация","tests","Sun Nov 30 10:19:36 UTC 2025","passed","Sun Nov 30 10:19:36 UTC 2025","","Login page","",""
"Добавление разных значений и проверка, что они добавились","365","Добавление значений","tests","Sun Nov 30 10:20:52 UTC 2025","passed","Sun Nov 30 10:20:52 UTC 2025","","Input and click page","",""
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","152","Проверка валидации значения","tests","Sun Nov 30 10:19:43 UTC 2025","passed","Sun Nov 30 10:19:43 UTC 2025","","Check and validate","",""
